Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Point Format,Y,,Point Format,Y,,Point Format,Y
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Horizontal Scale,2e-06,,Horizontal Scale,4e-06,,Horizontal Scale,4e-06
Horizontal Delay,-3.2e-07,,Horizontal Delay,0,,Horizontal Delay,0
Sample Interval,2e-09,,Sample Interval,4e-09,,Sample Interval,4e-09
Record Length,10000,,Record Length,10000,,Record Length,10000
Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,,Probe Attenuation,1,,Probe Attenuation,1
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
Vertical Offset,0,,Vertical Offset,0,,Vertical Offset,0
Vertical Scale,0.1,,Vertical Scale,0.1,,Vertical Scale,0.1
Vertical Position,-0.8,,Vertical Position,0,,Vertical Position,0
,,,,,,,
,,,,,,,
,,,,,,,
Label,,,Label,,,Label,
TIME,CH1,,TIME,REF2,,TIME,REF4
-9.9120e-06,0.188,,-1.9184e-05,nan,,-1.9184e-05,nan
-9.9100e-06,0.192,,-1.9180e-05,nan,,-1.9180e-05,nan
-9.9080e-06,0.188,,-1.9176e-05,nan,,-1.9176e-05,nan
-9.9060e-06,0.188,,-1.9172e-05,nan,,-1.9172e-05,nan
-9.9040e-06,0.188,,-1.9168e-05,nan,,-1.9168e-05,nan
-9.9020e-06,0.192,,-1.9164e-05,nan,,-1.9164e-05,nan
-9.9000e-06,0.172,,-1.9160e-05,nan,,-1.9160e-05,nan
-9.8980e-06,0.184,,-1.9156e-05,nan,,-1.9156e-05,nan
-9.8960e-06,0.184,,-1.9152e-05,nan,,-1.9152e-05,nan
-9.8940e-06,0.192,,-1.9148e-05,nan,,-1.9148e-05,nan
-9.8920e-06,0.18,,-1.9144e-05,nan,,-1.9144e-05,nan
-9.8900e-06,0.18,,-1.9140e-05,nan,,-1.9140e-05,nan
-9.8880e-06,0.18,,-1.9136e-05,nan,,-1.9136e-05,nan
-9.8860e-06,0.188,,-1.9132e-05,nan,,-1.9132e-05,nan
-9.8840e-06,0.184,,-1.9128e-05,nan,,-1.9128e-05,nan
-9.8820e-06,0.188,,-1.9124e-05,nan,,-1.9124e-05,nan
-9.8800e-06,0.192,,-1.9120e-05,nan,,-1.9120e-05,nan
-9.8780e-06,0.192,,-1.9116e-05,nan,,-1.9116e-05,nan
-9.8760e-06,0.184,,-1.9112e-05,nan,,-1.9112e-05,nan
-9.8740e-06,0.18,,-1.9108e-05,nan,,-1.9108e-05,nan
-9.8720e-06,0.184,,-1.9104e-05,nan,,-1.9104e-05,nan
-9.8700e-06,0.184,,-1.9100e-05,nan,,-1.9100e-05,nan
-9.8680e-06,0.192,,-1.9096e-05,nan,,-1.9096e-05,nan
-9.8660e-06,0.192,,-1.9092e-05,nan,,-1.9092e-05,nan
-9.8640e-06,0.188,,-1.9088e-05,nan,,-1.9088e-05,nan
-9.8620e-06,0.184,,-1.9084e-05,nan,,-1.9084e-05,nan
-9.8600e-06,0.184,,-1.9080e-05,nan,,-1.9080e-05,nan
-9.8580e-06,0.196,,-1.9076e-05,nan,,-1.9076e-05,nan
-9.8560e-06,0.184,,-1.9072e-05,nan,,-1.9072e-05,nan
-9.8540e-06,0.184,,-1.9068e-05,nan,,-1.9068e-05,nan
-9.8520e-06,0.18,,-1.9064e-05,nan,,-1.9064e-05,nan
-9.8500e-06,0.176,,-1.9060e-05,nan,,-1.9060e-05,nan
-9.8480e-06,0.192,,-1.9056e-05,nan,,-1.9056e-05,nan
-9.8460e-06,0.18,,-1.9052e-05,nan,,-1.9052e-05,nan
-9.8440e-06,0.192,,-1.9048e-05,nan,,-1.9048e-05,nan
-9.8420e-06,0.184,,-1.9044e-05,nan,,-1.9044e-05,nan
-9.8400e-06,0.18,,-1.9040e-05,nan,,-1.9040e-05,nan
-9.8380e-06,0.184,,-1.9036e-05,nan,,-1.9036e-05,nan
-9.8360e-06,0.192,,-1.9032e-05,nan,,-1.9032e-05,nan
-9.8340e-06,0.188,,-1.9028e-05,nan,,-1.9028e-05,nan
-9.8320e-06,0.188,,-1.9024e-05,nan,,-1.9024e-05,nan
-9.8300e-06,0.192,,-1.9020e-05,nan,,-1.9020e-05,nan
-9.8280e-06,0.188,,-1.9016e-05,nan,,-1.9016e-05,nan
-9.8260e-06,0.18,,-1.9012e-05,nan,,-1.9012e-05,nan
-9.8240e-06,0.192,,-1.9008e-05,nan,,-1.9008e-05,nan
-9.8220e-06,0.184,,-1.9004e-05,nan,,-1.9004e-05,nan
-9.8200e-06,0.184,,-1.9000e-05,nan,,-1.9000e-05,nan
-9.8180e-06,0.192,,-1.8996e-05,nan,,-1.8996e-05,nan
-9.8160e-06,0.184,,-1.8992e-05,nan,,-1.8992e-05,nan
-9.8140e-06,0.188,,-1.8988e-05,nan,,-1.8988e-05,nan
-9.8120e-06,0.188,,-1.8984e-05,nan,,-1.8984e-05,nan
-9.8100e-06,0.192,,-1.8980e-05,nan,,-1.8980e-05,nan
-9.8080e-06,0.188,,-1.8976e-05,nan,,-1.8976e-05,nan
-9.8060e-06,0.18,,-1.8972e-05,nan,,-1.8972e-05,nan
-9.8040e-06,0.184,,-1.8968e-05,nan,,-1.8968e-05,nan
-9.8020e-06,0.188,,-1.8964e-05,nan,,-1.8964e-05,nan
-9.8000e-06,0.188,,-1.8960e-05,nan,,-1.8960e-05,nan
-9.7980e-06,0.184,,-1.8956e-05,nan,,-1.8956e-05,nan
-9.7960e-06,0.18,,-1.8952e-05,nan,,-1.8952e-05,nan
-9.7940e-06,0.188,,-1.8948e-05,nan,,-1.8948e-05,nan
-9.7920e-06,0.192,,-1.8944e-05,nan,,-1.8944e-05,nan
-9.7900e-06,0.176,,-1.8940e-05,nan,,-1.8940e-05,nan
-9.7880e-06,0.192,,-1.8936e-05,nan,,-1.8936e-05,nan
-9.7860e-06,0.184,,-1.8932e-05,nan,,-1.8932e-05,nan
-9.7840e-06,0.184,,-1.8928e-05,nan,,-1.8928e-05,nan
-9.7820e-06,0.192,,-1.8924e-05,nan,,-1.8924e-05,nan
-9.7800e-06,0.18,,-1.8920e-05,nan,,-1.8920e-05,nan
-9.7780e-06,0.192,,-1.8916e-05,nan,,-1.8916e-05,nan
-9.7760e-06,0.18,,-1.8912e-05,nan,,-1.8912e-05,nan
-9.7740e-06,0.176,,-1.8908e-05,nan,,-1.8908e-05,nan
-9.7720e-06,0.176,,-1.8904e-05,nan,,-1.8904e-05,nan
-9.7700e-06,0.192,,-1.8900e-05,nan,,-1.8900e-05,nan
-9.7680e-06,0.196,,-1.8896e-05,nan,,-1.8896e-05,nan
-9.7660e-06,0.184,,-1.8892e-05,nan,,-1.8892e-05,nan
-9.7640e-06,0.196,,-1.8888e-05,nan,,-1.8888e-05,nan
-9.7620e-06,0.188,,-1.8884e-05,nan,,-1.8884e-05,nan
-9.7600e-06,0.188,,-1.8880e-05,nan,,-1.8880e-05,nan
-9.7580e-06,0.184,,-1.8876e-05,nan,,-1.8876e-05,nan
-9.7560e-06,0.184,,-1.8872e-05,nan,,-1.8872e-05,nan
-9.7540e-06,0.192,,-1.8868e-05,nan,,-1.8868e-05,nan
-9.7520e-06,0.188,,-1.8864e-05,nan,,-1.8864e-05,nan
-9.7500e-06,0.184,,-1.8860e-05,nan,,-1.8860e-05,nan
-9.7480e-06,0.192,,-1.8856e-05,nan,,-1.8856e-05,nan
-9.7460e-06,0.196,,-1.8852e-05,nan,,-1.8852e-05,nan
-9.7440e-06,0.188,,-1.8848e-05,nan,,-1.8848e-05,nan
